Unnamed: 0,Retail,Name,Category,Img,Link,Price,Quantity,Unit,Date of update,Mapped Category
55,Rema1000,"NAANBRØD, HVIDLØG",FAST FOOD BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60086/image/1737705594/170.jpg,https://shop.rema1000.dk/brod-bavinchi,12.0,260.0,GR.,2025-04-18,BRØD
56,Rema1000,GRÆSK FLADBRØD,FAST FOOD BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60168/image/1740648173/170.jpg,https://shop.rema1000.dk/brod-bavinchi,10.0,360.0,GR.,2025-04-18,BRØD
57,Rema1000,NAANBRØD,FAST FOOD BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60165/image/1739268593/170.jpg,https://shop.rema1000.dk/brod-bavinchi,12.0,260.0,GR.,2025-04-18,BRØD
58,Rema1000,ORIGINAL BURGER,FAST FOOD BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/66029/image/1648106391/170.jpg,https://shop.rema1000.dk/brod-bavinchi,20.5,320.0,GR.,2025-04-18,BRØD
59,Rema1000,GRÆSK FLADBRØD,FAST FOOD BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60169/image/1740648214/170.jpg,https://shop.rema1000.dk/brod-bavinchi,10.0,360.0,GR.,2025-04-18,BRØD
60,Rema1000,PITABRØD,FAST FOOD BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60125/image/1647417228/170.jpg,https://shop.rema1000.dk/brod-bavinchi,28.0,220.0,GR.,2025-04-18,BRØD
61,Rema1000,BRIOCHE BURGERB.,FAST FOOD BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60120/image/1740145337/170.jpg,https://shop.rema1000.dk/brod-bavinchi,10.0,360.0,GR.,2025-04-18,BRØD
62,Rema1000,BRIOCHE HOTDOG,FAST FOOD BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60119/image/1743664770/170.jpg,https://shop.rema1000.dk/brod-bavinchi,10.0,360.0,GR.,2025-04-18,BRØD
63,Rema1000,FRANSK HOTDOG,FAST FOOD BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/64710/image/1661866908/170.jpg,https://shop.rema1000.dk/brod-bavinchi,12.0,180.0,GR.,2025-04-18,BRØD
64,Rema1000,HÅNDVÆRKER,BAVINCHI BAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/360738/image/1618576035/170.jpg,https://shop.rema1000.dk/brod-bavinchi,3.75,45.0,GR.,2025-04-18,BAGERI
65,Rema1000,KANELSNEGL,BAVINCHI BAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/360770/image/1618576038/170.jpg,https://shop.rema1000.dk/brod-bavinchi,10.0,105.0,GR.,2025-04-18,BAGERI
66,Rema1000,CREMESNEGL,BAVINCHI BAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/360764/image/1654091733/170.jpg,https://shop.rema1000.dk/brod-bavinchi,10.0,95.0,GR.,2025-04-18,BAGERI
67,Rema1000,FORMBRØD,BAVINCHI BAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/360726/image/1618576033/170.jpg,https://shop.rema1000.dk/brod-bavinchi,20.0,536.0,GR.,2025-04-18,BAGERI
68,Rema1000,GROVBIRKES,BAVINCHI BAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/360744/image/1618576035/170.jpg,https://shop.rema1000.dk/brod-bavinchi,7.0,85.0,GR.,2025-04-18,BAGERI
69,Rema1000,SKAGENSTYKKE,BAVINCHI BAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/360735/image/1618576034/170.jpg,https://shop.rema1000.dk/brod-bavinchi,3.75,60.0,GR.,2025-04-18,BAGERI
70,Rema1000,TEBIRKES,BAVINCHI BAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/360772/image/1618576038/170.jpg,https://shop.rema1000.dk/brod-bavinchi,10.0,86.0,GR.,2025-04-18,BAGERI
71,Rema1000,SPANDAUER,BAVINCHI BAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/360776/image/1618576038/170.jpg,https://shop.rema1000.dk/brod-bavinchi,10.0,94.0,GR.,2025-04-18,BAGERI
72,Rema1000,TREKORNSSTYKKE,BAVINCHI BAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/360759/image/1618576036/170.jpg,https://shop.rema1000.dk/brod-bavinchi,3.75,60.0,GR.,2025-04-18,BAGERI
73,Rema1000,TEBOLLE,BAVINCHI BAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/360809/image/1618576042/170.jpg,https://shop.rema1000.dk/brod-bavinchi,3.75,46.0,GR.,2025-04-18,BAGERI
74,Rema1000,GULERODSBOLLE,BAVINCHI BAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/360853/image/1674645607/170.jpg,https://shop.rema1000.dk/brod-bavinchi,7.0,75.0,GR.,2025-04-18,BAGERI
