,Retail,Name,Category,Img,Link,Price,Quantity,Unit,Date of update
45,Rema1000,BONDEBRØD,RUGBRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/63644/image/1618240070/170.jpg,https://shop.rema1000.dk/brod-bavinchi,23.95,500,GR.,2025-04-27
46,Rema1000,BALANCE BRØD,RUGBRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60650/image/1709290575/170.jpg,https://shop.rema1000.dk/brod-bavinchi,22.00,675,GR.,2025-04-27
47,Rema1000,FULDK.RUGBRØD,RUGBRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/61205/image/1661867033/170.jpg,https://shop.rema1000.dk/brod-bavinchi,7.75,500,GR.,2025-04-27
48,Rema1000,STORE HOTDOGBRØD,FAST FOOD BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/61251/image/1676472268/170.jpg,https://shop.rema1000.dk/brod-bavinchi,14.75,360,GR.,2025-04-27
49,Rema1000,BURGERBOLLER,FAST FOOD BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/61250/image/1671199062/170.jpg,https://shop.rema1000.dk/brod-bavinchi,14.75,330,GR.,2025-04-27
50,Rema1000,PITABRØD,FAST FOOD BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60130/image/1715956816/170.jpg,https://shop.rema1000.dk/brod-bavinchi,16.50,500,GR.,2025-04-27
51,Rema1000,FULDKORN BURGER,FAST FOOD BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/66035/image/1648106391/170.jpg,https://shop.rema1000.dk/brod-bavinchi,20.50,320,GR.,2025-04-27
52,Rema1000,PØLSEBRØD,FAST FOOD BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/61255/image/1618240065/170.jpg,https://shop.rema1000.dk/brod-bavinchi,14.75,430,GR.,2025-04-27
53,Rema1000,BRIOCHE BURGER,FAST FOOD BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/66036/image/1672829199/170.jpg,https://shop.rema1000.dk/brod-bavinchi,20.00,320,GR.,2025-04-27
54,Rema1000,BRIOCHE HOTDOG,FAST FOOD BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/66039/image/1714044485/170.jpg,https://shop.rema1000.dk/brod-bavinchi,20.00,250,GR.,2025-04-27
55,Rema1000,ORIGINAL BURGER,FAST FOOD BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/66029/image/1648106391/170.jpg,https://shop.rema1000.dk/brod-bavinchi,20.50,320,GR.,2025-04-27
56,Rema1000,"NAANBRØD, HVIDLØG",FAST FOOD BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60086/image/1737705594/170.jpg,https://shop.rema1000.dk/brod-bavinchi,12.00,260,GR.,2025-04-27
57,Rema1000,NAANBRØD,FAST FOOD BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60165/image/1739268593/170.jpg,https://shop.rema1000.dk/brod-bavinchi,12.00,260,GR.,2025-04-27
58,Rema1000,PITABRØD,FAST FOOD BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60125/image/1647417228/170.jpg,https://shop.rema1000.dk/brod-bavinchi,28.00,220,GR.,2025-04-27
59,Rema1000,BRIOCHE BURGERB.,FAST FOOD BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60120/image/1740145337/170.jpg,https://shop.rema1000.dk/brod-bavinchi,17.75,360,GR.,2025-04-27
60,Rema1000,BRIOCHE HOTDOG,FAST FOOD BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60119/image/1743664770/170.jpg,https://shop.rema1000.dk/brod-bavinchi,17.75,360,GR.,2025-04-27
61,Rema1000,FRANSK HOTDOG,FAST FOOD BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/64710/image/1661866908/170.jpg,https://shop.rema1000.dk/brod-bavinchi,12.00,180,GR.,2025-04-27
62,Rema1000,HÅNDVÆRKER,BAVINCHI BAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/360738/image/1618576035/170.jpg,https://shop.rema1000.dk/brod-bavinchi,3.75,45,GR.,2025-04-27
63,Rema1000,KANELSNEGL,BAVINCHI BAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/360770/image/1618576038/170.jpg,https://shop.rema1000.dk/brod-bavinchi,10.00,105,GR.,2025-04-27
64,Rema1000,FORMBRØD,BAVINCHI BAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/360726/image/1618576033/170.jpg,https://shop.rema1000.dk/brod-bavinchi,20.00,536,GR.,2025-04-27
65,Rema1000,CREMESNEGL,BAVINCHI BAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/360764/image/1654091733/170.jpg,https://shop.rema1000.dk/brod-bavinchi,10.00,95,GR.,2025-04-27
66,Rema1000,GROVBIRKES,BAVINCHI BAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/360744/image/1618576035/170.jpg,https://shop.rema1000.dk/brod-bavinchi,7.00,85,GR.,2025-04-27
67,Rema1000,TEBIRKES,BAVINCHI BAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/360772/image/1618576038/170.jpg,https://shop.rema1000.dk/brod-bavinchi,10.00,86,GR.,2025-04-27
68,Rema1000,SKAGENSTYKKE,BAVINCHI BAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/360735/image/1618576034/170.jpg,https://shop.rema1000.dk/brod-bavinchi,3.75,60,GR.,2025-04-27
69,Rema1000,SPANDAUER,BAVINCHI BAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/360776/image/1618576038/170.jpg,https://shop.rema1000.dk/brod-bavinchi,10.00,94,GR.,2025-04-27
70,Rema1000,TREKORNSSTYKKE,BAVINCHI BAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/360759/image/1618576036/170.jpg,https://shop.rema1000.dk/brod-bavinchi,3.75,60,GR.,2025-04-27
71,Rema1000,TEBOLLE,BAVINCHI BAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/360809/image/1618576042/170.jpg,https://shop.rema1000.dk/brod-bavinchi,3.75,46,GR.,2025-04-27
72,Rema1000,TREKORNSBRØD,BAVINCHI BAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/360720/image/1618576032/170.jpg,https://shop.rema1000.dk/brod-bavinchi,20.00,515,GR.,2025-04-27
73,Rema1000,CHOKOLADEBOLLE,BAVINCHI BAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/360656/image/1741767606/170.jpg,https://shop.rema1000.dk/brod-bavinchi,7.00,75,GR.,2025-04-27
74,Rema1000,GULERODSBOLLE,BAVINCHI BAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/360853/image/1674645607/170.jpg,https://shop.rema1000.dk/brod-bavinchi,7.00,75,GR.,2025-04-27
75,Rema1000,DAGMARSTANG,BAVINCHI BAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/360754/image/1618576036/170.jpg,https://shop.rema1000.dk/brod-bavinchi,32.00,325,GR.,2025-04-27
76,Rema1000,MORMORBRØD,BAVINCHI BAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/360715/image/1618576032/170.jpg,https://shop.rema1000.dk/brod-bavinchi,25.00,515,GR.,2025-04-27
77,Rema1000,HINDBÆRSNITTER,BAVINCHI BAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/360565/image/1648461865/170.jpg,https://shop.rema1000.dk/brod-bavinchi,25.00,250,GR.,2025-04-27
78,Rema1000,PØLSEHORN,BAVINCHI BAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/360819/image/1618576043/170.jpg,https://shop.rema1000.dk/brod-bavinchi,12.00,70,GR.,2025-04-27
79,Rema1000,TRØFLER,BAVINCHI BAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/360624/image/1618576030/170.jpg,https://shop.rema1000.dk/brod-bavinchi,30.00,290,GR.,2025-04-27
