Retail,Name,Price,Category,Img,Link,Quantity,Unit,Date of Update,Name Cleaned
Coop,365 affaldsposer*,3.65,,https://image-transformer-api.tjek.com/?_id=v2&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Ff8e425810e86a38ec1d4e81074bfb3ba&w=378&s=9199681493291f6a2a72584a29204f19,,20,stk,2025-04-27,affaldsposer
Coop,Graasten pålægssalater*,10,,https://image-transformer-api.tjek.com/?_id=v2.6&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Ff6fff9a3f41da5763932c045a5eb1669%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fc89077331cb2222685fa79b168eae58a%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fa73d0d709cc26f05d739276ba278549c%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fdc9c4ee76cd0b89f4dc66572cf163207%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F2dfdb3699415a8124723fde64d61dca9&w=1128&s=c73fd7743e31e6912dd5a1e94cd04526,,120,g,2025-04-27,graasten pålægssalater
Coop,Grønne asparges,10,,https://image-transformer-api.tjek.com/?_id=v2&h=947&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F6cc220084f7caedcdb6a18f07bc403ac&w=528&s=b25e3ff6d1267cda0384f68cd643fa01,,250,g,2025-04-27,grønne asparges
Coop,Knorr sauce,10,,https://image-transformer-api.tjek.com/?_id=v2&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F53218e4348b44523e71fb308244e6259&w=528&s=e5ecd5d36b4fc0b92a22a4acb2aeaae2,,57-102,g,2025-04-27,knorr sauce
Coop,bouillon*,10,,https://image-transformer-api.tjek.com/?_id=v2&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F53218e4348b44523e71fb308244e6259&w=528&s=e5ecd5d36b4fc0b92a22a4acb2aeaae2,,57-102,g,2025-04-27,bouillon
Coop,Heinz ketchup*,10,,https://image-transformer-api.tjek.com/?_id=v2&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F439d6d7a6da8357a907c1ebd9aad9886&w=528&s=d7425e4e99038b88c56b1c5869ce583f,,460,g,2025-04-27,heinz ketchup
Coop,Katjes slikposer*,10,,https://image-transformer-api.tjek.com/?_id=v2.6&h=947&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F8d0b90a50aaa45769d1cdcefa36ca87a%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F79a427022910da2046b97275fd52dfbd%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F75ef008530059cb3b9cb110f3c1371c9%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fb8b4641a5e85602fb0478a8753ff306a&w=828&s=c5fec0569313b7df59aa823e3f3f91bd,,75-80,g,2025-04-27,katjes slikposer
Coop,Dan Cake Citronmåne,10,,https://image-transformer-api.tjek.com/?_id=v2.6&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fbf810c524ac041549ee3d0fca79a4853%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F33c21232da82a6260638871969a6ed51%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F0a9052d256a0d8588f225865046ec803%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fcaf56e8eba749e8542d7ebba67a480ed&w=828&s=c3424958f742444f1defaecd0f27d20b,,144-350,g,2025-04-27,dan cake citronmåne
Coop,Karen Volf Kagemarked*,10,,https://image-transformer-api.tjek.com/?_id=v2.6&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fbf810c524ac041549ee3d0fca79a4853%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F33c21232da82a6260638871969a6ed51%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F0a9052d256a0d8588f225865046ec803%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fcaf56e8eba749e8542d7ebba67a480ed&w=828&s=c3424958f742444f1defaecd0f27d20b,,144-350,g,2025-04-27,karen volf kagemarked
Coop,"Red Bull, Smirnoff Mokai",2025-04-27,,,,,,,"red bull, smirnoff mokai"
