Retail,Name,Price,Category,Img,Link,Quantity,Unit,Date of Update
Coop,Hakket grise- og kalvekød eller hakket grisekød 8-12%,25,,https://image-transformer-api.tjek.com/?_id=v2.6&h=260&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F10347797e6f37198ddf06db5844308e7%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F64fd87682a94ead977a8b78c0e8bf2dc&w=752&s=8817618cda0671bb04ac6a9c59d6765a,,400-500,g,2025-04-18
Coop,Ovnklar flæskesteg,14.95,,https://image-transformer-api.tjek.com/?_id=v2&h=631&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fcaf4c924c621fdc02df4af47a387907a&w=352&s=259016af1c829a1401e6eeec50ad6e9f,,,,2025-04-18
Coop,Mørbrad af gris,119,,https://image-transformer-api.tjek.com/?_id=v2&h=260&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F8c45334a32808e53b867ce97d4abf5ee&w=352&s=243f6da2b4a892365b827c37e3c767d9,,1500-1900,g,2025-04-18
Coop,Mini- eller middagsfrikadeller*,25,,https://image-transformer-api.tjek.com/?_id=v2.6&h=241&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fb02b3dd1b30006670d0317cc93064efe%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fc27bb6fa03703feb039860e279fde9a5&w=352&s=4618b47f1b61dd9479b25da6c192d3df,,450-480,g,2025-04-18
Coop,Faxe Kondi eller Pepsi Max,9,,https://image-transformer-api.tjek.com/?_id=v2&h=631&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F1f10c75e7c3c049edcdf4bf11a70846f&w=552&s=69c261cd2f57fe4a1e74b03afad3d420,,150,cl,2025-04-18
Coop,Magnum is*,25,,https://image-transformer-api.tjek.com/?_id=v2.6&h=260&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F5ae206475b8589e7dfdefb40f6c08cca%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Ff850a21ee4c6fd7616f1a8b06445af67%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fa99af381b67c074209fdf4b461efa31a%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Ff4c279e2c038b3bf9028242cb633209f%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Ffd692cbd82e2934773b87d9d2b33c80b&w=552&s=5604a617c8978a5ed19af46bd212ffd7,,255-330,ml,2025-04-18
Coop,Baileys Likør,79,,https://image-transformer-api.tjek.com/?_id=v2&h=260&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F7fb0480850796c90eb089b3366e74531&w=252&s=61b1a5f932153db6a038005b1fa071cb,,70,cl,2025-04-18
Coop,Gevalia eller Peter Larsen Kaffe*,49,,https://image-transformer-api.tjek.com/?_id=v2.6&h=260&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F958a0377a0ee37528a0fab379decb872%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fc920097353a70a3b9a68691533902d0d&w=252&s=943f762b5f769bc2a0ba48558712c032,,500,g,2025-04-18
Coop,"Budweiser, Corona eller Leffe*",10,,https://image-transformer-api.tjek.com/?_id=v2&h=631&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F9c479096c3fa35c56ee04f83378df6b7&w=552&s=46ceacbfe2eb6fddd1b9b3c3ecf9d00e,,33,cl,2025-04-18
Coop,Craft Nation Beer,9,,https://image-transformer-api.tjek.com/?_id=v2.6&h=260&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F1be1e23758f40a2120e19aa3212fb58d%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F1b769170dbcd11e9d3fce27fd5b825b2&w=552&s=d5e41db05f2fcf66fc0b9b55ec3a7833,,33,cl,2025-04-18
Coop,"Paulaner, San Miguel eller Urquell*",13,,https://image-transformer-api.tjek.com/?_id=v2.6&h=260&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F27f5bc61cc2b6f8298d2d301b6c06d08%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F820bb233d25b87d26db9089a46e80c53%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Ffd2bbf2c0a84461288d21d6f44cc9cec&w=252&s=8740f1263bc8ba27bb499fbb1f936d0e,,50,cl,2025-04-18
Coop,Grimbergen eller Jacobsen*,20,,https://image-transformer-api.tjek.com/?_id=v2.6&h=260&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F5634254274a8ee5b0673b8409b5ec185%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F2c06142bf4a57c6691e99672906f4fe7%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fa1e5ab0e0186f362a4a6155acc1f826f&w=252&s=8cc63e9b6528df14edf220d6aed84745,,75,cl,2025-04-18
Coop,Castello dessertost*,15,,https://image-transformer-api.tjek.com/?_id=v2&h=631&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Ff65b4b4a96856c1b050a0fb123b950b0&w=552&s=6440545631aecb0dabf4ee34c9a1ffd3,,125-200,g,2025-04-18
Coop,Røde kernefri druer,18,,https://image-transformer-api.tjek.com/?_id=v2&h=323&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F6b9c318dd413cb9539b7a42a61ff5512&w=202&s=51068523fac6550bb888408dd22409ef,,500,g,2025-04-18
Coop,Klovborg skiveost,29,,https://image-transformer-api.tjek.com/?_id=v2&h=260&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fe31bb428d35639c09f0c73c09f624aaf&w=252&s=a985f8c0dcbaca025dc6a15defbaa964,,240,g,2025-04-18
Coop,Castello Tistrup skæreost*,59,,https://image-transformer-api.tjek.com/?_id=v2.6&h=260&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F1e6378d541af4eb32df9d336d6c4036a%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F80b7753a3f33b4304084e0305bc6a26e%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fcbd2ce504f6ffeb685e77a3ec55dc87e&w=252&s=a4810b66d5fd233ad120e7f7164b9f24,,470,g,2025-04-18
Coop,Ostekiks eller Tuc Trio*,20,,https://image-transformer-api.tjek.com/?_id=v2.6&h=323&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F50473f12dd4a06b70b12db15a8ac9201%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F2be60f4756954cb9c01699cfe50f9a7b&w=533&s=bbd6a8740fa38cae12ef2907df17e9ff,,300,g,2025-04-18
Coop,Blåbær,28,,https://image-transformer-api.tjek.com/?_id=v2&h=631&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F821825112e0c2e0705f10d05ddf94dbb&w=552&s=ef917069c114352afca2cb73e2fc5f69,,250,g,2025-04-18
Coop,Cherrytomater på stilk,18,,https://image-transformer-api.tjek.com/?_id=v2&h=323&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F7aad066ecd1041f0a173a7b08e8f6a02&w=181&s=110af0ccc2166a3021484b8afa87b967,,500,g,2025-04-18
Coop,Hvide asparges,20,,https://image-transformer-api.tjek.com/?_id=v2&h=260&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Ff5caf8663c746f5cb80f1976f1275c48&w=252&s=89c61fc4b4d19b381bb4c55d178eea79,,500,g,2025-04-18
Coop,Kernefattig vandmelon,28,,https://image-transformer-api.tjek.com/?_id=v2&h=260&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fc6ee1e02ae36fc0e8df6ea62cb1f07a1&w=252&s=5e1217d6cdfeef207f98c952022ffff4,,,,2025-04-18
Coop,Økologiske bananer,22,,https://image-transformer-api.tjek.com/?_id=v2&h=323&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F29446552d72383683d6addf631ba1447&w=408&s=203771a60d611231b650ca27a0ea3173,,"1,3",kg,2025-04-18
Coop,"Ferrero Collection, Toms hjerteæske eller After Eight*",55,,https://image-transformer-api.tjek.com/?_id=v2&h=612&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F16fdcda34be5a1302abfc16f271a74b6&w=552&s=779f679399662b34e1b225d88e29a8cf,,155-400,g,2025-04-18
Coop,Haribo slikpose*,12,,https://image-transformer-api.tjek.com/?_id=v2.6&h=260&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Ff218c862e271f5525b067aaae4e3265d%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fe3dd513eb7fc47a4a7c77a9b43590761%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F2f68daeaffff78a8866050fc8dc3dae9%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F08b94065b79c8208b3dc43b605ebdabb&w=552&s=3b1535a04163c3232fa1bf07a286ba24,,120,g,2025-04-18
Coop,Toms Guldkarameller eller Kæmpe Skildpadder 3-pak*,16,,https://image-transformer-api.tjek.com/?_id=v2.6&h=241&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F4d5f5341ae17cfd039078877d4967952%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Ff0885542702fd9f1bbfa0a2c524b17aa%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F427258f267ccaff62a1b6b169e218c98&w=252&s=324f2e636c7810b98c96c423492b40f6,,84-100,g,2025-04-18
Coop,Dan Cake Fyldte Trøffelkugler*,25,,https://image-transformer-api.tjek.com/?_id=v2.6&h=260&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F497d046fd5b028a18d56cfda20ef034b%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fafe3ab6aacc9460a384d2bb0b60b6c78%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F2c394fb05b0017363c280caaa7eced6b&w=252&s=8dae39c65221cd06336275c9977244cf,,210,g,2025-04-18
Coop,Oliventræ - 170 cm høj*,249,,https://image-transformer-api.tjek.com/?_id=v2&h=631&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F16ded01b13ba1ed7e7f121bc9eca0915&w=552&s=c52c0b762ea78fb1bfe3df0b845a4b5a,,26,cm,2025-04-18
Coop,Buket*,129,,https://image-transformer-api.tjek.com/?_id=v2&h=260&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F9f95495807d5284bf38f12c35ba3f6ce&w=552&s=dbbf0d1548ee9b4e6aebc42bad10bcd4,,,,2025-04-18
Coop,Bacobe - hvid snow flake eller Rose og blå storblomsterne*,15,,https://image-transformer-api.tjek.com/?_id=v2.6&h=241&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F89ee71789312a9d8b9ef6e34e9e3d955%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F66a15b562639de5eb269ecfb8e83e80a&w=252&s=a14277c513243d1fa638529687eee720,,,,2025-04-18
Coop,Spansk Margurit*,15,,https://image-transformer-api.tjek.com/?_id=v2&h=260&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F5e724ee08e56d194fed34234f49c81c1&w=252&s=68197b93ea25289009fe088093ff0f0c,,,,2025-04-18
Coop,Pelargonia Zonale*,15,,https://image-transformer-api.tjek.com/?_id=v2&h=323&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F92e4887fd6d7b82762f7e9a46d3f10dd&w=376&s=395e69ef33e3d947327d308223fb131a,,,,2025-04-18
Coop,Carlsberg eller Tuborg*,89,,https://image-transformer-api.tjek.com/?_id=v2&h=631&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fc01544ae6d8ae5fa76ab4b83cab48289&w=552&s=5a4bab0f2a75003c6b7dd1157fdcffed,,18-20,x,2025-04-18
Coop,Taffel Chips*,11,,https://image-transformer-api.tjek.com/?_id=v2.6&h=260&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F4123025bfe090f039d5c36445de8dd84%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Ffb2120e9c11438a0223842dfb4481477%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F275d821acd9ccef4226e57799580b014%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F5c4cbfac2427a8f3171be76a04970444%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fd12cebf4246c651d8f4beeeb8ac70ce3&w=552&s=8dcc4fee5cc83a2d1de0d8c0584252b3,,130-175,g,2025-04-18
