,Retail,Name,Category,Img,Link,Price,Quantity,Unit,Date of Update
52,Rema1000,BRÆNDENDE KÆRLIGHED,FÆRDIGRETTER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/45101/image/1618239320/170.jpg,https://shop.rema1000.dk/frost,19.95,350,GR.,2025-06-01
53,Rema1000,TIKKA MASALA,FÆRDIGRETTER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/44868/image/1742306884/170.jpg,https://shop.rema1000.dk/frost,29.95,350,GR.,2025-06-01
54,Rema1000,RISOTTO MED SPINAT,FÆRDIGRETTER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/42175/image/1618239282/170.jpg,https://shop.rema1000.dk/frost,14.95,400,GR.,2025-06-01
55,Rema1000,THAIBOX TOM YUM,FÆRDIGRETTER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/44852/image/1728464386/170.jpg,https://shop.rema1000.dk/frost,27.95,320,GR.,2025-06-01
56,Rema1000,BROCCOLI,"GRØNTSAGER, FRUGT & BÆR",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/40770/image/1710938323/170.jpg,https://shop.rema1000.dk/frost,13.95,400,GR.,2025-06-01
57,Rema1000,FINE ÆRTER,"GRØNTSAGER, FRUGT & BÆR",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/40686/image/1725289243/170.jpg,https://shop.rema1000.dk/frost,10.00,600,GR.,2025-06-01
58,Rema1000,ÆRTER,"GRØNTSAGER, FRUGT & BÆR",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/40804/image/1710860734/170.jpg,https://shop.rema1000.dk/frost,13.95,400,GR.,2025-06-01
59,Rema1000,SOJABØNNER,"GRØNTSAGER, FRUGT & BÆR",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/40798/image/1713880097/170.jpg,https://shop.rema1000.dk/frost,10.00,250,GR.,2025-06-01
60,Rema1000,JORDBÆR,"GRØNTSAGER, FRUGT & BÆR",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/40861/image/1706623681/170.jpg,https://shop.rema1000.dk/frost,14.95,250,GR.,2025-06-01
61,Rema1000,WOKBLANDING,"GRØNTSAGER, FRUGT & BÆR",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/40768/image/1712668770/170.jpg,https://shop.rema1000.dk/frost,13.95,450,GR.,2025-06-01
62,Rema1000,HARICOTS VERTS,"GRØNTSAGER, FRUGT & BÆR",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/40844/image/1710862440/170.jpg,https://shop.rema1000.dk/frost,13.95,450,GR.,2025-06-01
63,Rema1000,SOMMERBLANDING,"GRØNTSAGER, FRUGT & BÆR",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/40371/image/1618239248/170.jpg,https://shop.rema1000.dk/frost,13.95,500,GR.,2025-06-01
64,Rema1000,HARICOTS VERTS,"GRØNTSAGER, FRUGT & BÆR",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/40772/image/1710235485/170.jpg,https://shop.rema1000.dk/frost,10.00,600,GR.,2025-06-01
65,Rema1000,SUPER SØDE MAJS,"GRØNTSAGER, FRUGT & BÆR",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/40805/image/1720088980/170.jpg,https://shop.rema1000.dk/frost,13.95,400,GR.,2025-06-01
66,Rema1000,BLOMKÅLSRIS,"GRØNTSAGER, FRUGT & BÆR",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/40840/image/1715771634/170.jpg,https://shop.rema1000.dk/frost,13.95,350,GR.,2025-06-01
67,Rema1000,RATATOUILLE,"GRØNTSAGER, FRUGT & BÆR",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/40292/image/1618239247/170.jpg,https://shop.rema1000.dk/frost,13.95,500,GR.,2025-06-01
